,Parent,Avg_Monthly_Supply,Parent Agency No.,Name
285,G1104,1016.4,G1104,KC - Str8t Progress Kids Cafe  
286,G1105,4790.583333333333,G1105,Straightway Church  
287,G1106,210.0,G1106,SFSP - Success Academy  
288,G1107,19474.285,G1107,Tabernacle of God Community Church Inc Outreach Ministry
289,G1108,153977.05,G1108,Tarboro Community Outreach  
290,G1111,25219.225000000002,G1111,The Anointed Ones Church Mission Office
291,G1112,15258.9375,G1112,The Memorial Baptist Church  
292,G1113,4290.2091666666665,G1113,The Rhema Word Christian  
293,G1114,9863.498333333333,G1114,The Way of the Cross Outreach Center
294,G1115,1551.340909090909,G1115,Third Street Community Center  
295,G1116,15206.652916666666,G1116,Twilight Missionary Baptist Church
296,G1117,30722.208333333332,G1117,"Union Mission, Inc  "
297,G1118,217.0,G1118,Unveiling Glory In Worship  
298,G1119,7026.352083333333,G1119,Victory & Dominion World Outreach - Sheppard Ministries
299,G1120,1260.7222222222222,G1120,ECU Health Medical Food Pantry formerly Vidant Medical Food Pantry
300,G1121,18548.98888888889,G1121,Whats The Need  
301,G1122,8601.666666666666,G1122,Wilson - Disaster Relief  
302,G1123,20118.791666666664,G1123,Wilson County Interfaith Hope Station
303,G1124,32109.600000000002,G1124,Word of Truth Anointed Ministries Inc
304,G1125,8097.25,G1125,WRAJ  
305,G1126,68419.51,G1126,You Need Help Outreach Ministry
306,G1219,2198.8333333333335,G1219,Spirit & Truth Worship Center  
307,G1221,8060.44,G1221,Selvia Chapel F.W.B. Church  
308,G1222,326.0,G1222,SFSP-Tabernacle of God Community Church  
309,G1223,5056.0,G1223,Robeson County - Disaster Relief  
310,G1224,3828.0,G1224,Arise Community Outreach  
311,G1225,24855.8705,G1225,Love N Action Outreach Inc.  
312,G1227,4412.363636363636,G1227,"Chosen Vessels Ministries, INC.  "
313,G1228,1850.0,G1228,"AMEXCAN, Inc.  "
314,G1233,15506.201428571429,G1233,Zion Chapel Food Pantry   
315,G1234,10314.0,G1234,"The Mercer Foundation, Inc.  "
316,G1236,2366.5,G1236,86Hunger  
317,N1000,3204.3333333333335,N1000,DR-About My Father's Business  
318,N1001,1860.4166666666667,N1001,Abundant Life International Baptist Cathedral
319,N1002,15556.963753968254,N1002,Abundant Life Miracle Center  
320,N1003,4562.0317460317465,N1003,DR-Acts of Mercy   
321,N1004,29442.49015151515,N1004,Adelphia CDC Inc Food Pantry
322,N1005,1172.5,N1005,American Red Cross  
323,N1006,1727.6666666666665,N1006,Antioch Community Outreach Inc  
324,N1008,13545.43006993007,N1008,Area Day Reporting Program For Youth/Feed My Sheep Ministries
325,N1009,177.66666666666666,N1009,Boys & Girls Club of the  
326,N1010,5519.416666666666,N1010,Woodville Baptist Church  
327,N1011,42999.48357142857,N1011,Word of God Christian Center  
328,N1012,7459.173913043478,N1012,BP - Backpack Blessings  
329,N1013,688.5,N1013,BP - United Way of Onslow County CHEW
330,N1014,14286.643055555556,N1014,Calvary Baptist Church  
331,N1015,12365.4,N1015,Carteret - Disaster Relief  
332,N1016,6238.181818181818,N1016,Christian Disciples  
333,N1017,2827.9333333333334,N1017,Cornerstone Assembly  
334,N1018,40103.181818181816,N1018,Craven County Disaster  
335,N1020,427.38695652173914,N1020,CSFP - Fairview Apts  
336,N1023,7189.8374534161485,N1023,DR-Ephesus SDA Church   
337,N1024,9093.554347826086,N1024,First United Methodist Church of Sneads Ferry
338,N1026,29649.287500000002,N1026,Folkstone Original Free Will Baptist Church
339,N1027,3237.25,N1027,SP - Fred Anderson  
340,N1029,3797.0,N1029,Garber United Methodist Church  
341,N1030,8815.0,N1030,God's City of Refuge Inc  
342,N1031,3836.125,N1031,Havelock Cherry Point Ministerial Outreach
343,N1032,4482.898809523809,N1032,DR-Heartworks   
344,N1034,18671.019583333335,N1034,Iglesia de Dios Pentecostal  
345,N1036,12589.875,N1036,Jones - Disaster Relief  
346,N1038,4587.934583333333,N1038,JT Kerr Memorial Baptist Food Pantry
347,N1039,16375.9,N1039,Kingdom City Ministries of Onslow County  
348,N1040,10020.504761904762,N1040,Lighthouse Community Church Food Pantry
349,N1041,6894.779220779221,N1041,Living Bread Holiness Church New Outreach Deliverance Minis
350,N1042,458.0,N1042,Living Hope Community Church  
351,N1043,3959.5714285714284,N1043,Loaves and Fishes of Beaufort  
352,N1044,23072.652173913044,N1044,Martha's Mission Cupboard  
353,N1045,13529.823529411764,N1045,Maysville Methodist Church Church
354,N1046,11297.511904761905,N1046,DR-Mission Hope World Outreach  
355,N1047,68385.95842650103,N1047,Mount Carmel  Food Pantry and Emer. Services
356,N1048,1772.1,N1048,NABVETS ENC-VUCS  
357,N1050,191.0,N1050,Bear Paws Food Pantry  
358,N1051,1301.752508361204,N1051,New Bern Older Adult Housing Food Pantry (NOAH)
359,N1052,2151.6875,N1052,The Meadows Apartments Senior Housing
360,N1053,12285.755555555555,N1053,New Hope Community Outreach  
361,N1054,4677.619047619048,N1054,New Life Church  
362,N1055,26863.571428571428,N1055,Onslow - Disaster Relief  
363,N1056,46162.07971014493,N1056,Onslow Community Outreach  Jacksonville
364,N1057,1200.5714285714287,N1057,Open Arms Plain Truth  
365,N1058,26548.76958333333,N1058,Open Door Management Inc  
366,N1059,29590.03625,N1059,Pamlico County Fishes & Loaves Outreach Inc
367,N1060,1298.4,N1060,Spencer's Place Group Home  
368,N1061,6584.0205000000005,N1061,Peletah Ministries  
369,N1062,3742.9444444444443,N1062,Reelsboro United Christian Svc Reelsboro UMC
370,N1063,43139.34502923977,N1063,Religious Community Services  
371,N1064,29365.41875,N1064,Richlands Community Outreach Ministry
372,N1065,6090.347826086957,N1065,Salvation Army Carteret Co  
373,N1067,40722.88287280702,N1067,Salvation Army-Jacksonville  
374,N1068,11971.173333333334,N1068,Salvation Army-Maysville Assistance
375,N1069,2052.375,N1069,Salvation Army-New Bern  
376,N1070,5467.090909090909,N1070,Second Chance Mission Of Hope  
377,N1071,27480.350000000002,N1071,White Oak Ecumenical Outreach Ministries  Outreach Ministries
378,N1072,1513.7166666666667,N1072,DR-St. Andrew's Lutheran Church   
379,N1073,659.7857142857143,N1073,St. Anne's Episcopal Church  
380,N1074,6683.964927536232,N1074,St. James Methodist Church  
381,N1075,1304.6,N1075,St. Johns Missionary Baptist  
382,N1076,1826.8333333333333,N1076,Tabernacle Baptist Church Unity Ministry
383,N1077,28558.704166666666,N1077,Feed Craven  The Church at New Bern
384,N1078,54472.7125,N1078,The Storehouse Pantry  
385,N1080,3674.2745098039213,N1080,Trenton Methodist Church Church-Food Pantry
386,N1081,7635.2505,N1081,Undenominational Pentcostal  
387,N1082,628.0,N1082,United Missionary  
388,N1083,9588.380952380952,N1083,Vanceboro Christian Help Center Help Center
389,N1084,9354.47619047619,N1084,Wildwood Presbyterian Church  
390,N1089,133.0,N1089,St. Paul's Episcopal Church   
391,N1090,20846.88263157895,N1090,Promise Place  
392,N1091,197.0,N1091,Craven Terrace Food Pantry  
393,N1092,57930.23272727273,N1092,St. Julia AME Zion  
394,N1093,34555.60544871795,N1093,The Filling Station  
395,N1094,25946.0,N1094,Beaufort County - Disaster Relief  
396,N1095,1932.0,N1095,Hope Mission of Carteret County  
397,N1096,28629.0,N1096,Jones County Disaster Relief Food Pantry  
398,R1000,2351.4545454545455,R1000,A Place Called Hope  
399,R1001,776.7,R1001,A Touch From Above Faith Center
400,R1002,102298.43306818184,R1002,A Touch of the Father's Love Inc
401,R1003,11310.545454545454,R1003,Abundant Life Ministries  
402,R1004,32908.27727272727,R1004,ADLA Inc  
403,R1005,292.8,R1005,Adopted Agencies  
404,R1006,3267.9545454545455,R1006,Adult Day Health Activity Center
405,R1007,25916.4,R1007,Albemarle Food Bank  
406,R1008,96.33333333333333,R1008,Alice Aycock Poe Center of Health Education
407,R1009,1722.25,R1009,SFSP - All About Us Kids  
408,R1010,4756.530000000001,R1010,Alliance of AIDS Services Carolina/Wake
409,R1011,624.695652173913,R1011,An Elegant Affair  
410,R1012,17294.798333333332,R1012,Angier Area Food Pantry  
411,R1013,1553.2941176470588,R1013,Apex UMC Feed The Kids
412,R1014,12026.125,R1014,Apostolic Faith Church   
413,R1019,391.8,R1019,KC - AventWest at Avent Ferry  
414,R1020,5988.196363636364,R1020,Family Food Basket  
415,R1021,1269.036231884058,R1021, Baptist Grove  
416,R1022,491.0952380952381,R1022,CSFP - Barton Apartments  
417,R1023,2054.1428571428573,R1023,CSFP - Becker Manor  
418,R1024,7655.743750000001,R1024,Benson Area Ministerial Association
419,R1026,4168.166666666667,R1026,Bethlehem Baptist Church  
420,R1029,8758.391304347826,R1029,Blood of the Lamb Church  
421,R1030,29828.0,R1030,Blue Ridge Area Food Bank  
422,R1031,859.5,R1031,SFSP- Boys & Girls Club Tar  
423,R1032,18759.25,R1032,Bread Basket/Sanford Soup Kitchen
424,R1033,9761.837916666667,R1033,Bread of Life Ministries of Sanford
425,R1034,5047.916666666667,R1034,CSFP - Broad Inc  
426,R1035,3075.554761904762,R1035,CSFP - Brooks Ave  
427,R1036,5192.466666666667,R1036,Brown Bag Ministry  
428,R1037,17644.083333333332,R1037,Building 323  
429,R1038,542.0,R1038,Burning Bush Ministries Inc  
430,R1039,14058.532173913043,R1039,By Faith Church  
431,R1040,224.5,R1040,SFSP - Camp I Can  
432,R1041,16086.916666666666,R1041,Capital Pentacostal Church  
433,R1042,1422.4166666666667,R1042,CSFP - Capital Towers  
434,R1044,30347.633804347828,R1044,"Care and Share, Inc.  "
435,R1047,12230.3,R1047,Cathedral De Jesus  
436,R1048,101181.12541666666,R1048,Catholic Parish Outreach  
437,R1050,245.6,R1050,Centennial Campus Middle School PTSA
438,R1052,11626.95,R1052,Changing Hearts Deliverance  
